key,state,year,confined_population,adult_male,pct_adult_male,adult_female,pct_adult_female,juvenile_male,pct_juvenile_male,juvenile_female,pct_juvenile_female,white_population,pct_white,black_population,pct_black,hispanic_population,pct_hispanic,native_american_population,pct_native_american,asian_population,pct_asian,native_hawaiian_pacific_islander_population,pct_native_hawaiian_pacific_islander,two_or_more_race_population,pct_two_or_more_races,other_population,pct_other
Minnesota - 2011,Minnesota,2011,3779,3306,0.8748346123313046,464,0.12278380523948135,8,0.0021169621593014024,1,0.0002646202699126753,1420,0.37576078327599893,805,0.21301931727970363,275,0.0727705742259857,281,0.07435829584546176,66,0.01746493781423657,17,0.00449854458851548,15,0.00396930404869013,120,0.03175443238952104
Minnesota - 2012,Minnesota,2012,3972,3477,0.8753776435045317,491,0.12361530715005035,4,0.0010070493454179255,0,0.0,1672,0.4209466263846928,843,0.2122356495468278,258,0.0649546827794562,268,0.06747230614300101,79,0.019889224572004028,2,0.0005035246727089627,23,0.005790533736153071,138,0.03474320241691843
Minnesota - 2013,Minnesota,2013,3854,3401,0.8824597820446289,448,0.11624286455630514,5,0.0012973533990659055,0,0.0,1393,0.3614426569797613,885,0.22963155163466528,195,0.050596782563570315,215,0.05578619615983394,93,0.024130773222625843,0,0.0,16,0.0041515308770108976,154,0.03995848469122989
Minnesota - 2014,Minnesota,2014,4329,3792,0.875952875952876,533,0.12312312312312312,4,0.000924000924000924,0,0.0,1534,0.35435435435435436,987,0.227997227997228,266,0.06144606144606145,243,0.056133056133056136,112,0.02587202587202587,1,0.000231000231000231,31,0.007161007161007161,148,0.03418803418803419
Minnesota - 2015,Minnesota,2015,3745,3273,0.8739652870493992,472,0.1260347129506008,0,0.0,0,0.0,1208,0.3225634178905207,651,0.17383177570093458,208,0.05554072096128171,182,0.048598130841121495,68,0.01815754339118825,15,0.004005340453938585,13,0.003471295060080107,130,0.03471295060080107
Minnesota - 2016,Minnesota,2016,3679,3193,0.8678988855667301,479,0.13019842348464256,7,0.0019026909486273443,0,0.0,1214,0.3299809730905137,656,0.17830932318564827,426,0.11579233487360696,148,0.04022832291383528,83,0.022560478390867084,3,0.0008154389779831476,27,0.0073389508018483285,0,0.0
Minnesota - 2017,Minnesota,2017,3470,2986,0.8605187319884726,476,0.1371757925072046,8,0.0023054755043227667,0,0.0,1402,0.4040345821325648,1095,0.31556195965417866,84,0.02420749279538905,202,0.05821325648414986,84,0.02420749279538905,8,0.0023054755043227667,36,0.01037463976945245,155,0.0446685878962536
Minnesota - 2018,Minnesota,2018,3885,3320,0.8545688545688546,564,0.14517374517374518,1,0.0002574002574002574,0,0.0,1489,0.3832689832689833,1413,0.3637065637065637,415,0.10682110682110682,252,0.06486486486486487,127,0.03268983268983269,8,0.002059202059202059,23,0.005920205920205921,135,0.03474903474903475
Mississippi - 2008,Mississippi,2008,7520,6856,0.9117021276595745,566,0.07526595744680852,88,0.011702127659574468,3,0.00039893617021276594,1974,0.2625,5186,0.689627659574468,294,0.039095744680851065,27,0.0035904255319148936,39,0.005186170212765957,0,0.0,0,0.0,0,0.0
Mississippi - 2009,Mississippi,2009,7139,6499,0.9103515898585236,518,0.07255918195825746,105,0.01470794228883597,17,0.002381285894382967,1565,0.219218377924079,4733,0.6629780081243871,136,0.019050287155063735,6,0.0008404538450763413,2,0.0002801512816921137,0,0.0,0,0.0,0,0.0
Mississippi - 2010,Mississippi,2010,6919,5998,0.8668882786529846,616,0.0890302066772655,64,0.00924989160283278,4,0.0005781182251770487,1937,0.27995375054198585,3679,0.5317242376065906,77,0.011128775834658187,4,0.0005781182251770487,16,0.002312472900708195,1,0.00014452955629426219,0,0.0,312,0.0450932215638098
Mississippi - 2011,Mississippi,2011,6082,5506,0.905294311081881,512,0.0841828345938836,63,0.01035843472541927,1,0.0001644195988161789,1720,0.2828017099638277,3729,0.6131206839855311,67,0.011016113120683986,10,0.001644195988161789,13,0.0021374547846103255,0,0.0,0,0.0,0,0.0
Mississippi - 2012,Mississippi,2012,5519,5073,0.9191882587425259,413,0.07483239717340098,32,0.005798151839101286,1,0.0001811922449719152,1696,0.30730204747236817,3010,0.5453886573654647,76,0.013770610617865555,0,0.0,20,0.003623844899438304,0,0.0,8,0.0014495379597753216,0,0.0
Mississippi - 2013,Mississippi,2013,6131,5526,0.9013211547871472,464,0.07568096558473332,26,0.004240743761213505,3,0.0004893165878323275,1885,0.3074539226879791,3196,0.5212852715707063,59,0.009623226227369108,5,0.0008155276463872126,13,0.0021203718806067527,0,0.0,1,0.00016310552927744252,0,0.0
Mississippi - 2014,Mississippi,2014,5995,5524,0.9214345287739784,426,0.07105921601334446,45,0.007506255212677231,0,0.0,1862,0.31059216013344454,3559,0.5936613844870725,58,0.009674728940783986,8,0.0013344453711426189,10,0.0016680567139282735,0,0.0,6,0.001000834028356964,1,0.00016680567139282736
Mississippi - 2015,Mississippi,2015,7444,6620,0.8893068242880172,804,0.10800644814615798,20,0.0026867275658248252,0,0.0,2972,0.3992477162815691,4251,0.5710639441160666,188,0.02525523911875336,5,0.0006716818914562063,11,0.001477700161203654,0,0.0,0,0.0,0,0.0
Mississippi - 2016,Mississippi,2016,7357,6425,0.8733179285034661,894,0.1215169226586924,38,0.005165148837841511,0,0.0,2822,0.38358026369444065,3987,0.5419328530651081,75,0.010194372706266141,1,0.0001359249694168819,9,0.0012233247247519369,1,0.0001359249694168819,15,0.0020388745412532284,0,0.0
